,Sr.No,Date,Invoice No,Challan No,Challan Date,P.O. Date,Product Name,Qty,Unit Price,Amount,Total Value,CGST(9%),SGST(9%),GST Tax Total,Sub Total,Total
217,41,7-Mar-18,ARH/M318/102,102,7-Mar-18,12-Feb-18,Side Mount Level Switch,5,6000,30000,30000,2700,2700,5400,35400,35400
218,42,7-Mar-18,ARH/M318/103,103,7-Mar-18,25-Feb-18,Magnetic Float Level Switch,1,12300,12300,11685,1051.65,1051.65,2103.3,14138.3,14138
219,43,7-Mar-18,ARH/M318/104,104,7-Mar-18,14-Feb-18,Float And Board Level Indicator,3,3520,10560,10560,950.4,950.4,1900.8,12485.8,12485
220,44,7-Mar-18,ARH/M318/105,105,7-Mar-18,15-Feb-18,Reflex Level Gauge,1,7200,7200,7200,648,648,1296,8496,8496
221,45,8-Mar-18,ARH/M318/106,106,8-Mar-18,1-Mar-18,Transparent Level Gauge,1,85000,85000,85000,7650,7650,15300,100300,100300
222,46,9-Mar-18,ARH/M318/107,107,9-Mar-18,17-Feb-18,Side Mount Level Switch,3,6000,18000,18000,1620,1620,3240,21240,21240
223,47,10-Mar-18,ARH/M318/108,108,10-Mar-18,25-Feb-18,Cable Float Level Switch,1,10053,10053,10053,904.77,904.77,1809.54,12012.54,12012
224,48,12-Mar-18,ARH/M318/109,109,12-Mar-18,19-Feb-18,Miniature Level Switch(SS),1,1502,1502,1276.7,114.903,114.903,229.806,1506.506,1506
225,49,12-Mar-18,ARH/M318/110,110,12-Mar-18,20-Feb-18,Capicitance Type,1,35000,35000,35000,3150,3150,6300,41750,41750
226,50,13-Mar-18,ARH/M318/111,111,13-Mar-18,21-Feb-18,Side Mount Level Switch,2,6000,12000,12000,1080,1080,2160,14160,14160
227,51,14-Mar-18,ARH/M318/112,112,14-Mar-18,10-Mar-18,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3363,3363
228,52,15-Mar-18,ARH/M318/113,113,15-Mar-18,23-Feb-18,Side Mount Level Switch,2,6000,12000,12000,1080,1080,2160,14160,14160
229,53,16-Mar-18,ARH/M318/114,114,16-Mar-18,24-Feb-18,Conductivity Float Level Switch,1,11700,11700,11115,1000.35,1000.35,2000.7,13465.7,13465
230,54,17-Mar-18,ARH/M318/115,115,17-Mar-18,25-Feb-18,External Chambers,1,4200,4200,3990,359.1,359.1,718.2,4708.2,4708
231,55,20-Mar-18,ARH/M318/116,116,20-Mar-18,26-Feb-18,Side Mount Level Switch,2,6000,12000,12000,1080,1080,2160,14160,14160
232,56,23-Mar-18,ARH/M318/117,117,23-Mar-18,27-Feb-18,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3363,3363
233,57,27-Mar-18,ARH/M318/118,118,27-Mar-18,1-Mar-18,Float And Board Level Indicator,1,3520,3520,3520,316.8,316.8,633.6,4178.6,4178
234,58,2-Apr-18,ARH/A418/100,100,2-Apr-18,1-Mar-18,Magnetic Float Level Switch,3,12300,36900,35055,3154.95,3154.95,6309.9,41714.9,41714
235,59,3-Apr-18,ARH/A418/101,101,3-Apr-18,,By-Pass Level Indicator,1,3500,3500,3500,315,315,630,4130,4130
236,60,4-Apr-18,ARH/A418/102,102,4-Apr-18,3-Mar-18,Conductivity Float Level Switch,5,11700,58500,55575,5001.75,5001.75,10003.5,65928.5,65928
237,61,5-Apr-18,ARH/A418/103,103,5-Apr-18,4-Mar-18,Tubuler Type Level Gauge,1,2900,2900,2900,261,261,522,3547,3547
238,62,6-Apr-18,ARH/A418/104,104,6-Apr-18,5-Mar-18,Magnetic Float Level Switch,2,12300,24600,23370,2103.3,2103.3,4206.6,27926.6,27926
239,63,7-Apr-18,ARH/A418/105,105,7-Apr-18,18-Mar-18,Transparent Level Gauge,1,85000,85000,85000,7650,7650,15300,100300,100300
240,64,10-Apr-18,ARH/A418/106,106,10-Apr-18,,Capicitance Type,1,35000,35000,35000,3150,3150,6300,41750,41750
241,65,10-Apr-18,ARH/A418/107,107,10-Apr-18,8-Mar-18,Reflex Level Gauge,1,7200,7200,7200,648,648,1296,8496,8496
242,66,10-Apr-18,ARH/A418/108,108,10-Apr-18,9-Mar-18,Magnetic Float Level Switch,2,12300,24600,24600,2214,2214,4428,29378,29378
243,67,11-Apr-18,ARH/A418/109,109,11-Apr-18,10-Apr-18,Conductivity Float Level Switch,4,11700,46800,44460,4001.4,4001.4,8002.8,52812.8,52812
244,68,12-Apr-18,ARH/A418/110,110,12-Apr-18,,Float And Board Level Indicator,1,3520,3520,3520,316.8,316.8,633.6,4178.6,4178
245,69,13-Apr-18,ARH/A418/111,111,13-Apr-18,18-Mar-18,Miniature Level Switch(SS),1,1502,1502,1502,135.18,135.18,270.36,1772.36,1772
246,70,14-Apr-18,ARH/A418/112,112,14-Apr-18,13-Mar-18,Magnetic Float Level Switch,3,12300,36900,35055,3154.95,3154.95,6309.9,41714.9,41714
247,71,14-Apr-18,ARH/A418/113,113,14-Apr-18,14-Mar-18,Side Mount Level Switch,1,6000,6000,6000,540,540,1080,7080,7080
248,72,16-Apr-18,ARH/A418/114,114,16-Apr-18,10-Apr-18,Conductivity Float Level Switch,2,11700,23400,22230,2000.7,2000.7,4001.4,26581.4,26581
249,73,17-Apr-18,ARH/A418/115,115,17-Apr-18,16-Mar-18,External Chambers,1,4200,4200,3990,359.1,359.1,718.2,4708.2,4708
250,74,18-Apr-18,ARH/A418/116,116,18-Apr-18,,Cable Float Level Switch,2,10053,20106,20106,1809.54,1809.54,3619.08,23875.08,23875
251,75,19-Apr-18,ARH/A418/117,117,19-Apr-18,18-Mar-18,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3363,3363
252,76,20-Apr-18,ARH/A418/118,118,20-Apr-18,19-Mar-18,Magnetic Float Level Switch,5,12300,61500,58425,5258.25,5258.25,10516.5,69291.5,69291
253,77,21-Apr-18,ARH/A418/119,119,21-Apr-18,20-Mar-18,Conductivity Float Level Switch,2,11700,23400,22230,2000.7,2000.7,4001.4,26581.4,26581
254,78,28-Apr-18,ARH/A418/120,120,28-Apr-18,25-Apr-18,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3363,3363
255,79,5-May-18,ARH/M518/100,100,5-May-18,10-Apr-18,By-Pass Level Indicator,4,3500,14000,14000,1260,1260,2520,16520,16520
256,80,6-May-18,ARH/M518/101,101,6-May-18,11-Apr-18,Side Mount Level Switch,1,6000,6000,6000,540,540,1080,7080,7080
257,81,7-May-18,ARH/M518/102,102,7-May-18,27-Apr-18,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3363,3363
258,82,8-May-18,ARH/M518/103,103,8-May-18,13-Apr-18,Tubuler Type Level Gauge,5,2900,14500,14500,1305,1305,2610,17235,17235
259,83,9-May-18,ARH/M518/104,104,9-May-18,14-Apr-18,Float And Board Level Indicator,1,3520,3520,3520,316.8,316.8,633.6,4178.6,4178
260,84,10-May-18,ARH/M518/105,105,10-May-18,15-Apr-18,By-Pass Level Indicator,2,3500,7000,7000,630,630,1260,8260,8260
261,85,11-May-18,ARH/M518/106,106,11-May-18,1-May-18,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3363,3363
262,86,12-May-18,ARH/M518/107,107,12-May-18,17-Apr-18,Tubuler Type Level Gauge,3,2900,8700,8700,783,783,1566,10391,10391
