,Sr.No,Date,Invoice No,Challan No,Challan Date,P.O. Date,Product Name,Qty,Unit Price,Amount,Total Value,CGST(9%),SGST(9%),GST Tax Total,Sub Total,Total
0,1,3-Jan-17,ARH/J117/100,100,3-Jan-17,12-Dec-16,Side Mount Level Switch,1,6000,6000,5400,486,486,972,6372,6372
1,2,5-Jan-17,ARH/J117/101,101,5-Jan-17,12-Dec-16,Tubuler Type Level Gauge,5,2900,14500,14500,1305,1305,2610,17235,17235
2,3,5-Jan-17,ARH/J117/102,102,5-Jan-17,25-Dec-16,Tubuler Type Level Gauge,2,2900,5800,5510,495.9,495.9,991.8,6501.8,6501
3,4,6-Jan-17,ARH/J117/103,103,6-Jan-17,25-Dec-16,Conductivity Level Switch,1,4250,4250,4250,382.5,382.5,765,5075,5075
4,5,10-Jan-17,ARH/J117/104,104,10-Jan-17,25-Dec-16,Cable Float Level Switch,2,10053,20106,20106,1809.54,1809.54,3619.08,23875.08,23875
5,6,11-Jan-17,ARH/J117/105,105,11-Jan-17,25-Dec-16,By-Pass Level Indicator,3,3500,10500,10500,945,945,1890,12390,12390
6,7,15-Jan-17,ARH/J117/106,106,15-Jan-17,23-Dec-16,Miniature Level Switch(SS),2,1502,3004,2553.4,229.806,229.806,459.612,3013.012,3013
7,8,16-Jan-17,ARH/J117/107,107,16-Jan-17,10-Dec-16,Tubuler Type Level Gauge,1,2900,2900,2900,261,261,522,3577,3577
8,9,18-Jan-17,ARH/J117/108,108,18-Jan-17,2-Jan-17,By-Pass Level Indicator,5,3500,17500,17500,1575,1575,3150,20650,20650
9,10,18-Jan-17,ARH/J117/109,109,18-Jan-17,4-Jan-17,Float And Board Level Indicator,1,3520,3520,3520,316.8,316.8,633.6,4178.6,4178
10,11,18-Jan-17,ARH/J117/110,110,18-Jan-17,1-Dec-16,Tubuler Type Level Gauge,1,2900,2900,2900,261,261,522,3422,3422
11,12,19-Jan-17,ARH/J117/111,111,19-Jan-17,5-Dec-16,External Chambers,1,4200,4200,3990,359.1,359.1,718.2,4708.2,4708
12,13,20-Jan-17,ARH/J117/112,112,20-Jan-17,31-Dec-16,Transparent Level Gauge,1,5600,5600,5600,504,504,1008,6858,6858
13,14,23-Jan-17,ARH/J117/113,113,23-Jan-17,6-Jan-17,Miniature Level Switch(PP),1,1502,1502,1502,135.18,135.18,270.36,1772.36,1772
14,15,24-Jan-17,ARH/J117/114,114,24-Jan-17,5-Jan-17,Tubuler Type Level Gauge,1,2900,2900,2610,234.9,234.9,469.8,3218.8,3218
15,16,27-Jan-17,ARH/J117/115,115,27-Jan-17,14-Jan-17,Tubuler Type Level Gauge,6,2900,17400,17400,1566,1566,3132,20532,20532
16,17,28-Jan-17,ARH/J117/116,116,28-Jan-17,14-Jan-17,By-Pass Level Indicator,1,3500,3500,3500,315,315,630,4255,4255
17,18,28-Jan-17,ARH/J117/117,117,28-Jan-17,14-Jan-17,By-Pass Level Indicator,1,3500,3500,3500,315,315,630,4130,4130
18,19,28-Jan-17,ARH/J117/118,118,28-Jan-17,15-Jan-17,Tubuler Type Level Gauge,5,2900,14500,14500,1305,1305,2610,17110,17110
19,20,28-Jan-17,ARH/J117/119,119,28-Jan-17,16-Jan-17,Miniature Level Switch(SS),1,1502,1502,1426.9,128.421,128.421,256.842,1983.742,1983
20,21,28-Jan-17,ARH/J117/120,120,28-Jan-17,17-Jan-17,By-Pass Level Indicator,2,3500,7000,6650,598.5,598.5,1197,7847,7847
21,22,3-Feb-17,ARH/F217/100,100,3-Feb-17,18-Jan-17,Magnetic Float Level Switch,2,12300,24600,23370,2103.3,2103.3,4206.6,27926.6,27926
22,23,3-Feb-17,ARH/F217/101,101,3-Feb-17,25-Jan-17,Conductivity Float Level Switch,2,11700,23400,22230,2000.7,2000.7,4001.4,26581.4,26581
23,24,3-Feb-17,ARH/F217/102,102,3-Feb-17,25-Jan-17,Conductivity Level Sensor,1,3600,3600,3600,324,324,648,4348,4348
24,25,8-Feb-17,ARH/F217/103,103,8-Feb-17,26-Jan-17,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3363,3363
25,26,8-Feb-17,ARH/F217/104,104,8-Feb-17,27-Jan-17,Magnetic Float Level Switch,6,12300,73800,70110,6309.9,6309.9,12619.8,82729.8,82729
26,27,13-Feb-17,ARH/F217/105,105,13-Feb-17,28-Jan-17,Side Mount Level Switch,1,650,650,650,58.5,58.5,117,767,767
27,28,15-Feb-17,ARH/F217/106,106,15-Feb-17,28-Jan-17,Conductivity Float Level Switch,1,11700,11700,11700,1053,1053,2106,13806,13806
28,29,15-Feb-17,ARH/F217/107,107,15-Feb-17,28-Jan-17,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3363,3363
29,30,15-Feb-17,ARH/F217/108,108,15-Feb-17,5-Feb-17,Magnetic Float Level Switch,4,12300,49200,46740,4206.6,4206.6,8413.2,55853.2,55853
30,31,16-Feb-17,ARH/F217/109,109,16-Feb-17,5-Feb-17,Reed Based Level Transmitter,1,6900,6900,6900,621,621,1242,8142,8142
31,32,17-Feb-17,ARH/F217/110,110,17-Feb-17,31-Jan-17,Capacitance Type,2,35000,70000,63000,5670,5670,11340,75240,75240
32,33,18-Feb-17,ARH/F217/111,111,18-Feb-17,15-Jan-17,Reflex Level Gauge,1,7200,7200,7200,648,648,1296,8496,8496
33,34,18-Feb-17,ARH/F217/112,112,18-Feb-17,2-Feb-17,Conductivity Float Level Switch,2,11700,23400,23400,2106,2106,4212,27612,27612
34,35,18-Feb-17,ARH/F217/113,113,18-Feb-17,3-Feb-17,Capicitance Type,1,35000,35000,31500,2835,2835,5670,37620,37620
35,36,24-Feb-17,ARH/F217/114,114,24-Feb-17,4-Feb-17,Magnetic Float Level Switch,5,12300,61500,61500,5535,5535,11070,72820,72820
36,37,24-Feb-17,ARH/F217/115,115,24-Feb-17,15-Feb-17,Reflex Level Gauge,1,7200,7200,7200,648,648,1296,8596,8596
37,38,24-Feb-17,ARH/F217/116,116,24-Feb-17,15-Feb-17,Side Mount Level Switch,2,650,1300,1300,117,117,234,1534,1534
38,39,27-Feb-17,ARH/F217/117,117,27-Feb-17,20-Feb-17,Conductivity Float Level Switch,1,11700,11700,11700,1053,1053,2106,14156,14156
39,40,27-Feb-17,ARH/F217/118,118,27-Feb-17,20-Feb-17,Miniature Level Switch,3,2850,8550,8122.5,731.025,731.025,1462.05,9584.55,9584
40,41,28-Feb-17,ARH/F217/119,119,28-Feb-17,20-Feb-17,Magnetic Float Level Switch,2,12300,24600,23370,2103.3,2103.3,4206.6,27926.6,27926
41,42,2-Mar-17,ARH/M317/100,100,2-Mar-17,8-Feb-17,Capicitance Type,1,35000,35000,31500,2835,2835,5670,37620,37620
42,43,2-Mar-17,ARH/M317/101,101,2-Mar-17,8-Feb-17,Conductivity Level Switch,1,4250,4250,4250,382.5,382.5,765,5075,5075
43,44,8-Mar-17,ARH/M317/102,102,8-Mar-17,8-Feb-17,Side Mount Level Switch,6,6000,36000,36000,3240,3240,6480,42480,42480
44,45,15-Mar-17,ARH/M317/103,103,15-Mar-17,8-Feb-17,Tubuler Type Level Gauge,2,2900,5800,5800,522,522,1044,6844,6844
45,46,15-Mar-17,ARH/M317/104,104,15-Mar-17,8-Feb-17,By-Pass Level Indicator,3,3500,10500,10500,945,945,1890,12390,12390
46,47,15-Mar-17,ARH/M317/105,105,15-Mar-17,8-Feb-17,Reflex Level Gauge,1,7200,7200,7200,648,648,1296,8496,8496
47,48,15-Mar-17,ARH/M317/106,106,15-Mar-17,8-Feb-17,Side Mount Level Switch,2,6000,12000,10800,972,972,1944,12744,12744
48,49,20-Mar-17,ARH/M317/107,107,20-Mar-17,21-Feb-17,Side Mount Level Switch,3,6000,18000,18000,1620,1620,3240,21240,21240
49,50,20-Mar-17,ARH/M317/108,108,20-Mar-17,1-Mar-17,Transparent Level Gauge,1,85000,85000,85000,7650,7650,15300,100300,100300
50,51,21-Mar-17,ARH/M317/109,109,21-Mar-17,12-Mar-17,Side Mount Level Switch,1,6000,6000,5400,486,486,972,6372,6372
51,52,29-Mar-17,ARH/M317/110,110,29-Mar-17,12-Mar-17,Cable Float Level Switch,2,10053,20106,20106,1809.54,1809.54,3619.08,23875.08,23875
52,53,30-Mar-17,ARH/M317/111,111,30-Mar-17,14-Mar-17,Side Mount Level Switch,1,6000,6000,5400,486,486,972,6372,6372
53,54,31-Mar-17,ARH/M317/112,112,31-Mar-17,15-Mar-17,Cable Float Level Switch,2,10053,20106,20106,1809.54,1809.54,3619.08,23875.08,23875
54,55,31-Mar-17,ARH/M317/113,113,31-Mar-17,20-Mar-17,Side Mount Level Switch,1,6000,6000,5400,486,486,972,6372,6372
55,56,3-Apr-17,ARH/A417/100,100,3-Apr-17,28-Feb-17,Conductivity Level Sensor,1,3600,3600,3600,324,324,648,4348,4348
56,57,3-Apr-17,ARH/A417/101,101,3-Apr-17,3-Mar-17,Miniature Level Switch,5,2850,14250,14250,1282.5,1282.5,2565,16815,16815
57,58,3-Apr-17,ARH/A417/102,102,3-Apr-17,30-Mar-17,Magnetic Float Level Switch,3,12300,36900,36900,3321,3321,6642,43792,43791.1
58,59,3-Apr-17,ARH/A417/103,103,3-Apr-17,30-Mar-17,Side Mount Level Switch,2,650,1300,1300,117,117,234,1534,1534
59,60,3-Apr-17,ARH/A417/104,104,3-Apr-17,30-Mar-17,Conductivity Float Level Switch,4,11700,46800,42120,3790.8,3790.8,7581.6,50051.6,50051
60,61,3-Apr-17,ARH/A417/105,105,3-Apr-17,30-Mar-17,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3463,3463
61,62,3-Apr-17,ARH/A417/106,106,3-Apr-17,30-Mar-17,Reed Based Level Transmitter,1,6900,6900,6900,621,621,1242,8242,8242
62,63,3-Apr-17,ARH/A417/107,107,3-Apr-17,30-Mar-17,Conductivity Float Level Switch,4,11700,46800,39780,3580.2,3580.2,7160.4,46940.4,46940
63,64,4-Apr-17,ARH/A417/108,108,4-Apr-17,30-Mar-17,Conductivity Float Level Switch,1,11700,11700,11700,1053,1053,2106,13956,13956
64,65,12-Apr-17,ARH/A417/109,109,12-Apr-17,30-Mar-17,Miniature Level Switch,3,2850,8550,8550,769.5,769.5,1539,10089,10089
65,66,18-Apr-17,ARH/A417/110,110,18-Apr-17,30-Mar-17,Magnetic Float Level Switch,2,12300,24600,24600,2214,2214,4428,29028,29028
66,67,19-Apr-17,ARH/A417/111,111,19-Apr-17,4-Apr-17,Conductivity Float Level Switch,2,11700,23400,23400,2106,2106,4212,27612,27612
67,68,27-Apr-17,ARH/A417/112,112,27-Apr-17,5-Apr-17,Conductivity Float Level Switch,5,11700,58500,58500,5265,5265,10530,69030,69030
68,69,27-Apr-17,ARH/A417/113,113,27-Apr-17,15-Mar-17,Capicitance Type,1,35000,35000,35000,3150,3150,6300,41850,41850
69,70,27-Apr-17,ARH/A417/114,114,27-Apr-17,9-Apr-17,Magnetic Float Level Switch,2,12300,24600,23370,2103.3,2103.3,4206.6,27576.6,27576
70,71,28-Apr-17,ARH/A417/115,115,28-Apr-17,20-Mar-17,Capicitance Type,1,35000,35000,35000,3150,3150,6300,41750,41750
71,72,8-May-17,ARH/M517/100,100,8-May-17,5-Apr-17,By-Pass Level Indicator,1,3500,3500,3150,283.5,283.5,567,3842,3842
72,73,8-May-17,ARH/M517/101,101,8-May-17,8-Apr-17,Capicitance Type,1,35000,35000,35000,3150,3150,6300,41750,41750
73,74,9-May-17,ARH/M517/102,102,9-May-17,8-May-17,Tubuler Type Level Gauge,5,2900,14500,14500,1305,1305,2610,17249,17249
74,75,17-May-17,ARH/M517/103,103,17-May-17,25-Apr-17,Tubuler Type Level Gauge,2,2900,5800,5800,522,522,1044,6983,6983
75,76,17-May-17,ARH/M517/104,104,17-May-17,3-May-17,By-Pass Level Indicator,6,3500,21000,18900,1701,1701,3402,22427,22427
76,77,18-May-17,ARH/M517/105,105,18-May-17,27-Apr-17,Conductivity Level Switch,1,4250,4250,4250,382.5,382.5,765,5075,5075
77,78,22-May-17,ARH/M517/106,106,22-May-17,28-Apr-17,Tubuler Type Level Gauge,1,2900,2900,2610,234.9,234.9,469.8,3218.8,3218
78,79,25-May-17,ARH/M517/107,107,25-May-17,29-Apr-17,Cable Float Level Switch,2,10053,20106,20106,1809.54,1809.54,3619.08,23875.08,23875
79,80,25-May-17,ARH/M517/108,108,25-May-17,29-Apr-17,Tubuler Type Level Gauge,1,2900,2900,2610,234.9,234.9,469.8,3218.8,3218
80,81,25-May-17,ARH/M517/109,109,25-May-17,1-May-17,By-Pass Level Indicator,2,3500,7000,7000,630,630,1260,8385,8385
81,82,25-May-17,ARH/M517/110,110,25-May-17,20-May-17,Tubuler Type Level Gauge,3,2900,8700,8700,783,783,1566,10405,10405
82,83,29-May-17,ARH/M517/111,111,29-May-17,3-May-17,Reflex Level Gauge,1,7200,7200,7200,648,648,1296,8496,8496
83,84,1-Jun-17,ARH/J617/100,100,1-Jun-17,5-May-17,Tubuler Type Level Gauge,1,2900,2900,2610,234.9,234.9,469.8,3218.8,3218
84,85,1-Jun-17,ARH/J617/101,101,1-Jun-17,6-May-17,Tubuler Type Level Gauge,1,2900,2900,2900,261,261,522,3561,3561
85,86,5-Jun-17,ARH/J617/102,102,5-Jun-17,6-May-17,Reflex Level Gauge,6,7200,43200,43200,3888,3888,7776,50976,50976
86,87,6-Jun-17,ARH/J617/103,103,6-Jun-17,8-May-17,By-Pass Level Indicator,3,3500,10500,10500,945,945,1890,12390,12390
87,88,6-Jun-17,ARH/J617/104,104,6-Jun-17,9-May-17,Transparent Level Gauge,1,85000,85000,85000,7650,7650,15300,100800,100800
88,89,7-Jun-17,ARH/J617/105,105,7-Jun-17,10-May-17,Tubuler Type Level Gauge,6,2900,17400,17400,1566,1566,3132,20671,20671
89,90,8-Jun-17,ARH/J617/106,106,8-Jun-17,11-May-17,Tubuler Type Level Gauge,1,2900,2900,2755,247.95,247.95,495.9,3250.9,3250
